{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.8, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -2.9, 'gyro_y': -0.8, 'gyro_z': -2.3, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 240731.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.7, 'aceleracion_x': -0.7, 'aceleracion_y': 0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.2, 'gyro_y': -1.4, 'gyro_z': 1.2, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 241185.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.9, 'aceleracion_x': -0.7, 'aceleracion_y': 0.0, 'aceleracion_z': 0.7, 'gyro_x': -2.1, 'gyro_y': 0.3, 'gyro_z': -1.3, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 241641.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.7, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -4.0, 'gyro_y': -1.6, 'gyro_z': 2.2, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 242096.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.5, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.5, 'gyro_y': 1.8, 'gyro_z': 1.2, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 242550.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.6, 'aceleracion_x': -0.7, 'aceleracion_y': 0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.6, 'gyro_y': 1.5, 'gyro_z': 0.5, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 242822.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.6, 'aceleracion_x': -0.7, 'aceleracion_y': 0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.2, 'gyro_y': 1.5, 'gyro_z': -1.0, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 243276.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.5, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.4, 'gyro_y': 1.8, 'gyro_z': 1.0, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 243547.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.4, 'aceleracion_x': -0.7, 'aceleracion_y': 0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.1, 'gyro_y': -0.1, 'gyro_z': -0.3, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 244002.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.7, 'aceleracion_x': -0.7, 'aceleracion_y': 0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.5, 'gyro_y': -0.7, 'gyro_z': 1.2, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 244457.0}
